년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201708,40~50평,978.5060000000001,466800,7,1574.2775210371728
201708,50평 이상,169.199,70000,1,1365.2562958409917
201709,20평 미만,8709.8125,5093640,163,1929.8936687787477
201709,20~30평,12895.0632,6864900,155,1756.8095362262357
201709,30~40평,3631.802,1707450,32,1551.4571003595458
201709,40~50평,1817.968,829100,13,1504.9934872340987
201709,50평 이상,169.199,71300,1,1390.611055620896
201710,20평 미만,7020.5735,4194170,135,1971.4573175539003
201710,20~30평,11193.6363,6016500,135,1773.7265592593892
201710,30~40평,2638.136,1274350,23,1594.0630050914735
201710,40~50평,705.8,345000,5,1613.0631907055822
201710,50평 이상,341.52,134900,2,1303.496134926212
201711,20평 미만,7671.0178,4476250,145,1925.6408191361518
201711,20~30평,11883.2606,6571500,143,1824.9157979418544
201711,30~40평,2195.064,1050200,19,1578.8423481046566
201711,40~50평,868.001,357800,6,1360.2979720069445
201711,50평 이상,338.398,147000,2,1433.5191106330415
201712,20평 미만,7226.8195,4428900,135,2022.3792776338194
201712,20~30평,12010.182999999999,6915250,144,1900.0813726152217
201712,30~40평,2850.401,1537500,25,1780.012706984035
201712,40~50평,1020.998,543100,7,1755.3707255058284
201712,50평 이상,507.59700000000004,222400,3,1445.8714295001741
201801,20평 미만,11325.2898,7043390,218,2052.326025246612
201801,20~30평,18459.4319,10765350,221,1924.525911330998
201801,30~40평,5716.767,2875498,50,1659.879333896239
201801,40~50평,1421.574,797600,10,1851.5251404429173
201801,50평 이상,512.74,214600,3,1381.167843351406
201802,20평 미만,10446.0988,6503820,198,2054.604921025637
201802,20~30평,18390.3053,10513300,221,1886.5314867828756
201802,30~40평,4812.917,2641700,43,1811.2944810808078
201802,40~50평,724.574,331300,5,1508.8727997416413
201802,50평 이상,340.419,153500,2,1488.0191763679466
201803,20평 미만,12586.2006,7653350,238,2006.6464696264254
201803,20~30평,20678.8209,11498390,249,1834.9540906367636
201803,30~40평,4527.0976,2465380,40,1797.1236140347403
201803,40~50평,1943.5040000000001,958450,14,1627.4136816800992
201803,50평 이상,1200.116,564000,7,1550.8500844918324
201804,20평 미만,7145.2956,4176100,141,1928.699772756777
201804,20~30평,11606.2735,6452250,140,1834.5617135422492
201804,30~40평,2764.964,1540550,24,1838.6550421632974
201804,40~50평,1901.1019999999999,1083550,13,1880.8643618280346
201804,50평 이상,169.199,78900,1,1538.8388820264893
201805,20평 미만,7727.1266,4754820,150,2030.6262356307193
201805,20~30평,10852.4998,6083860,131,1849.9643741066918
201805,30~40평,2753.711,1358400,24,1627.8832455548168
201805,40~50평,699.6800000000001,333000,5,1570.575120054882
201805,50평 이상,338.398,162500,2,1584.6724862440083
201806,20평 미만,8981.7025,5770330,170,2120.097943569162
201806,20~30평,13650.6499,7843770,165,1896.205762335169
201806,30~40평,3523.711,1862100,31,1743.8802444354828
201806,40~50평,977.282,432150,7,1459.246154129514
201806,50평 이상,169.199,82500,1,1609.0520629554546
201807,20평 미만,9940.3351,6591900,185,2188.3839710796065
201807,20~30평,17429.9012,10388000,211,1966.7581362997053
