년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,56.7561831995586,51.681957186544324,57.16046636528045,1084.1619781469394,20.487054285714287,61.53846153846153,52.018604303583544
201606,2016-06-01,52.926001816902755,50.029786727034434,35.19631421009384,1091.0160883808303,23.845336964285718,60.23076923076923,43.82267639386016
201607,2016-07-01,22.91141586904725,47.16430358632193,35.33147990784713,1059.9975211007556,21.374371312500003,64.38461538461539,40.42779244269649
201608,2016-08-01,28.095554997665463,46.30710777499767,38.314434702480135,1076.096930944912,23.104018875,67.38461538461537,43.02214166985478
201609,2016-09-01,29.885298871830262,42.97470113983876,44.87307742173381,1074.8729775955123,24.396310803571428,66.46153846153847,45.08790833498579
201610,2016-10-01,40.50876232645273,51.439330755427505,64.12886304477871,1151.2877744205275,26.48479537815126,66.61538461538463,54.56517916147642
201611,2016-11-01,45.791194983011316,52.87739783152626,62.75749061426358,1149.779596202917,23.201996651583716,57.76923076923077,52.2213030068547
201612,2016-12-01,70.66154750530482,49.59688629413399,24.093513405955328,1057.1681863765532,21.996848397435897,50.46153846153846,39.37994579201422
201701,2017-01-01,64.479648778373,34.91798721156519,35.643223804124645,1112.203686592497,23.59480657894737,54.15384615384615,41.977515355489544
201702,2017-02-01,75.4630140151054,28.35696413678065,28.747526141615143,975.0467642231616,25.81475013368984,58.92307692307692,41.642113169373765
201703,2017-03-01,76.44116780097389,27.24492632749513,25.404811812894152,985.9600172246516,23.67493076923077,58.15384615384615,39.94214705441774
201704,2017-04-01,77.20736570638832,23.714206283013617,48.5892429021957,1026.5713204451624,21.80673236111111,58.84615384615385,47.60397983014886
201705,2017-05-01,17.931618590793907,27.300528217959407,49.81948312026272,1042.0842254674574,24.79266171052632,60.0,41.809736699765054
201706,2017-06-01,74.96780665319751,31.832082290797885,21.303986631480683,897.2143995973486,31.5220919138756,59.0,40.284695226099004
201707,2017-07-01,98.1363648471267,33.778148457047536,40.905892740515725,1018.5373340876158,29.10006084090909,60.15384615384616,50.20984728680019
201708,2017-08-01,100.00000000000003,32.7217125382263,50.72465504920002,955.4258642943996,35.15907583333333,58.00000000000001,54.1177047094983
201709,2017-09-01,63.368986943522835,34.69557964970809,42.805828464685106,1023.8002003912482,28.666826825396825,56.15384615384615,45.57859634906471
201710,2017-10-01,40.894429834350746,39.50514317486793,45.954198250828995,985.5655566513352,27.565062777777776,53.15384615384614,43.55713696907068
201711,2017-11-01,26.712751232278077,40.25576869613566,39.4652301293543,1004.7674077047744,29.103279375,48.92307692307693,38.780156673344955
201712,2017-12-01,10.147649008429466,38.72671670836808,45.29863342011741,1019.479335365746,28.33687660326087,48.00000000000001,38.21434890212992
201801,2018-01-01,21.872580326342987,41.145398943564075,36.01995848423753,956.5323800765376,35.48212919642857,50.92307692307693,38.537321488455035
201802,2018-02-01,41.95891924324652,41.70141784820684,41.697519928321945,1017.816922387752,36.00333674242424,53.23076923076924,43.75986693040029
201803,2018-03-01,44.79140687615164,43.42507645259938,43.81954686329684,972.646352446268,36.22168649456522,47.15384615384615,43.58561633089409
201804,2018-04-01,37.75620075038268,41.95162635529607,33.147630866670184,942.397442978092,32.36280760869565,44.53846153846154,37.55418571746414
201805,2018-05-01,5.926464482673746e-14,41.78482068390325,37.31125428387333,926.3672675473252,30.144439642857144,45.15384615384615,34.09216906973369
201806,2018-06-01,24.986495263240236,38.55991103697525,42.3671624735795,952.7917296978616,29.60659875,43.53846153846154,38.097412850395145
201807,2018-07-01,47.754297937022955,39.922157353350016,38.45109528413229,892.1794850676988,29.701154433333333,44.23076923076923,39.930305733435226
201808,2018-08-01,68.01702922953153,42.229635807617456,43.39998045210554,966.30046808032,36.39499023076923,49.07692307692307,46.69930559172671
201809,2018-09-01,71.28614278659032,48.06783430636641,52.50683018316623,972.6189073585784,47.30641759615385,53.53846153846153,53.777215724766236
201810,2018-10-01,43.73988726031822,52.32137892688351,46.30212618104551,998.1747763033133,42.27940324074074,49.84615384615385,47.016851384415716
201811,2018-11-01,69.60132826168291,50.23630803447317,29.966646099919508,871.8472720683119,34.58048925925927,43.61538461538462,41.55895021472638
201812,2018-12-01,91.5852690405451,46.705587989991656,39.729784628227236,964.2755519901236,32.10134660714286,38.46153846153846,45.622368355152666
201901,2019-01-01,92.24434975892831,41.228801779260486,47.375401625372945,926.3298820968464,35.064515517241375,40.84615384615384,48.73675030027879
201902,2019-02-01,58.28875345193762,43.23046983597442,38.956385939262546,936.76677209207,33.27597240740741,42.846153846153854,42.02757231238047
201903,2019-03-01,19.471083302457536,47.011398387545164,39.55462903794151,910.9549532514663,34.36739214285714,41.53846153846154,37.69415458057382
201904,2019-04-01,17.374312196636595,49.9582985821518,39.74101765545753,924.5591390608588,33.739914642857144,40.46153846153846,37.50230433857187
201905,2019-05-01,34.99660947454676,54.489852654990266,53.48405246983615,986.2264113430022,31.119004741379317,42.23076923076924,45.13076914953399
201906,2019-06-01,23.80022586412001,55.879899916597154,53.738142994126,990.337377722934,29.96956120689655,45.84615384615384,44.725338413106684
201907,2019-07-01,24.78956800726415,59.38281901584654,48.92863283043431,1025.4225118583386,33.94349733333334,49.3076923076923,45.06501754546392
201908,2019-08-01,29.163949450346482,60.633861551292746,42.21379711377725,993.0625609206982,34.46540133333333,49.07692307692307,43.43859633425771
201909,2019-09-01,29.1800196296556,57.1587433972755,36.80049099585012,997.7594015564548,40.24567068965517,54.3076923076923,43.28629090728528
201910,2019-10-01,42.99906151191089,58.13177648040033,55.744957400681784,1070.9116486825153,43.05274387931034,58.23076923076924,53.16769372886638
201911,2019-11-01,41.53642077502765,56.07450653322212,70.28559913699877,1132.5914012981357,47.115012500000006,55.99999999999999,57.868577486480795
201912,2019-12-01,46.96922656966021,64.22018348623853,57.76362293055642,1141.2413528804022,51.44784202380953,54.38461538461539,55.42927443240736
202001,2020-01-01,49.85555606377948,63.636363636363626,41.05274324732377,1130.9142078685074,56.78858106481482,57.30769230769232,51.40016033572651
202002,2020-02-01,53.64520052620306,88.8518209619127,69.91216831286859,1211.7167653153308,57.306395384615385,64.0,66.87734590321078
202003,2020-03-01,56.37548056670383,100.0,85.99302697097464,1218.462777988306,53.82355296296296,59.53846153846154,72.60264283973892
202004,2020-04-01,57.14883587177668,98.33194328607172,37.120199096130044,1198.319554854207,52.69643442307692,53.615384615384606,53.73547839568426
202005,2020-05-01,42.54309674258537,70.19738671114818,47.47955887436686,1240.2690242532892,52.65111542307693,57.6923076923077,53.03115027428356
202006,2020-06-01,50.30083486162701,69.50236308034474,84.3463151946855,1305.722609838209,70.11567679999999,58.538461538461526,69.64857696550177
202007,2020-07-01,92.31305653485484,65.9438420906311,0.0,1110.6893493754374,77.50155853333334,54.3076923076923,44.984269185108815
202008,2020-08-01,90.7112267633556,51.32054489852654,12.285857454405546,1134.260789715257,69.57987455357144,55.76923076923077,46.433310442120614
202009,2020-09-01,79.31172566763384,13.81706978037253,47.03234546980088,1143.9619348573449,61.15928885093168,58.61538461538461,51.930159826917006
202010,2020-10-01,8.588515331426255,9.702529886016126,44.732396623883034,1154.3731428658705,70.36712782608696,61.99999999999999,43.9977886444524
202011,2020-11-01,29.74372394454386,13.261050875729765,58.48793374430621,1231.123739142378,83.83850073863636,64.07692307692308,54.4413795430676
202012,2020-12-01,25.441214570307057,23.964414790102847,73.07435896483912,1289.2662252716543,82.07538146464647,66.3076923076923,60.639959604364975
202101,2021-01-01,50.42670851788306,34.4175701973867,41.07676848903566,1226.9290242987472,86.56767216666668,66.6923076923077,54.640631558648124
202102,2021-02-01,52.723563053350716,45.76035585209897,49.805706191765,1318.4821610036065,82.647656125,70.84615384615384,59.85117391058741
202103,2021-03-01,54.41773090294608,64.77620239088128,100.0,1406.2834950244803,78.2537793939394,70.07692307692308,79.1565393400501
202104,2021-04-01,31.240082379696133,65.83263830970252,72.15056856650385,1407.5560953311067,72.01016817460317,68.61538461538461,65.34216046448782
202105,2021-05-01,41.97991496147682,67.30608840700583,27.349949281939722,1347.1553851412089,69.73298542857142,71.07692307692308,51.46241125325572
