년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,35.98379446542308,62.17318746523273,45.46886768685476,867.8323247156717,20.487054285714287,61.53846153846153,46.64139995920367
201606,2016-06-01,38.397321110196195,59.27525098672886,46.907153621409265,905.6415867214972,23.845336964285718,60.23076923076923,47.261068131944036
201607,2016-07-01,38.971782850064436,60.57852772111998,60.69363036657405,938.5845442693068,21.374371312500003,64.38461538461539,52.98886899272782
201608,2016-08-01,55.22423418308794,64.5095494159095,35.19766652968788,892.9618455744687,23.104018875,67.38461538461537,47.59766291266928
201609,2016-09-01,52.59695597969066,65.30317077693307,32.20246939610775,916.999061126274,24.396310803571428,66.46153846153847,46.28321136913601
201610,2016-10-01,48.36487572403729,67.80675286145342,50.59260903289549,927.0780528377106,26.48479537815126,66.61538461538463,52.855432195268605
201611,2016-11-01,33.93256008867007,59.20637863897647,36.660817460044726,909.9023979371744,23.201996651583716,57.76923076923077,42.39626064201672
201612,2016-12-01,28.127704874616377,43.00018542555165,35.630429603081424,911.4328027200378,21.996848397435897,50.46153846153846,37.2765485235995
201701,2017-01-01,32.81891086123057,24.513257926942337,42.147817868341534,930.2243897081609,23.59480657894737,54.15384615384615,38.995939877744796
201702,2017-02-01,28.060820277249242,26.94233265343965,43.80325600030909,937.4479140793206,25.81475013368984,58.92307692307692,40.809515467267
201703,2017-03-01,39.758419605947275,39.58835527535696,33.80918488166756,912.5306650536984,23.67493076923077,58.15384615384615,39.84126272259283
201704,2017-04-01,42.95732486512922,51.288707583905065,38.39679106328702,936.2876105548348,21.80673236111111,58.84615384615385,43.20217924398487
201705,2017-05-01,43.452214014849346,53.69923975523828,41.58495152591974,922.987445006158,24.79266171052632,60.0,45.41756401191181
201706,2017-06-01,41.53569579366549,48.98943074355647,41.790899065146,948.617150879993,31.5220919138756,59.0,45.420769277035184
201707,2017-07-01,43.07329960886405,46.37493046541815,42.162524269904964,936.8860666027784,29.10006084090909,60.15384615384616,45.341382918349915
201708,2017-08-01,48.2028130883252,45.373632486556644,44.09164744430008,971.1623318193448,35.15907583333333,58.00000000000001,46.90299367736526
201709,2017-09-01,48.270872864526304,47.0239198961617,47.05720655909895,972.3347474964498,28.666826825396825,56.15384615384615,46.720356953041694
201710,2017-10-01,55.662567662700845,47.0239198961617,30.869281226422423,936.7492657512612,27.565062777777776,53.15384615384614,41.06328032923387
201711,2017-11-01,39.55659690390546,45.985536806972014,26.14871659923656,917.0803405604316,29.103279375,48.92307692307693,36.44107866061171
201712,2017-12-01,44.60080629820742,41.40552568143891,36.667034072363485,928.0462472714332,28.33687660326087,48.00000000000001,39.83478491327214
201801,2018-01-01,41.02909847256299,39.495642499536444,44.20096305707055,943.7150035846656,35.48212919642857,50.92307692307693,43.589018301720635
201802,2018-02-01,29.59454260889428,35.91692935286483,42.0695948968452,945.0951868687142,36.00333674242424,53.23076923076924,41.621485028171655
201803,2018-03-01,31.933921361361662,46.05970702762841,39.310708982372056,946.7950244457488,36.22168649456522,47.15384615384615,40.7296662051003
201804,2018-04-01,31.23790998776747,47.11663267198221,42.293637724850406,960.0735691078638,32.36280760869565,44.53846153846154,40.586127562086084
201805,2018-05-01,32.33307685264348,50.49137771184869,44.678217524272156,976.4299769141296,30.144439642857144,45.15384615384615,41.80056043894689
201806,2018-06-01,59.57241098071404,41.73929167439274,63.51398145119457,1082.27533520893,29.60659875,43.53846153846154,50.219461536921834
201807,2018-07-01,68.44496621098655,42.36973854997218,56.327155924833065,1067.3911923277042,29.701154433333333,44.23076923076923,49.07920814150372
201808,2018-08-01,79.05152882882241,43.12998331170036,29.620969640894586,1033.2748875428488,36.39499023076923,49.07692307692307,43.3685076957246
201809,2018-09-01,37.30268721885205,45.96699425180791,37.68614072347009,1062.100680467649,47.30641759615385,53.53846153846153,44.07943746108549
201810,2018-10-01,48.03523304112358,48.39606897830522,31.322997525128564,995.9620446791232,42.27940324074074,49.84615384615385,41.82041083387317
201811,2018-11-01,47.33911376962374,41.88763211570554,24.783707793091647,974.2661823068012,34.58048925925927,43.61538461538462,35.91856050598328
201812,2018-12-01,41.47289431484975,34.54478027072131,37.69443675645169,989.0451829025576,32.10134660714286,38.46153846153846,37.125848794410516
201901,2019-01-01,29.77518206642348,29.093269052475435,35.317744833334345,950.7116106860184,35.064515517241375,40.84615384615384,35.190982870654054
201902,2019-02-01,33.42683644706617,31.132950120526615,35.72334672151711,967.4506884908832,33.27597240740741,42.846153846153854,36.27607899612966
201903,2019-03-01,35.089285117236464,37.752642314110886,44.46350045082762,989.3031072679114,34.36739214285714,41.53846153846154,40.20719029275204
201904,2019-04-01,23.26538589176474,41.424068236603006,39.558116710923834,972.9545463368078,33.739914642857144,40.46153846153846,37.10789442668249
201905,2019-05-01,24.678807263076788,46.57889857222326,39.86341639829171,996.7312633924378,31.119004741379317,42.23076923076924,38.08495198771381
201906,2019-06-01,36.735526946890026,48.2106434266642,45.96328594824597,1015.5346446955645,29.96956120689655,45.84615384615384,42.662394021153304
