년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,36.48565138159447,120.55555555555554,100.0,672.4604345110106,20.487054285714287,61.53846153846153,73.08782439461628
201606,2016-06-01,50.34088090843284,135.79365079365078,54.511366596685896,620.29020612222,23.845336964285718,60.23076923076923,60.98028762393568
201607,2016-07-01,52.869692631314265,119.44444444444441,18.284593737558964,598.7289202757771,21.374371312500003,64.38461538461539,47.24118448564432
201608,2016-08-01,50.45248528818777,34.629629629629626,52.03915005360224,658.4679870583169,23.104018875,67.38461538461537,49.160723560891796
201609,2016-09-01,54.17310411766725,28.777777777777764,37.64054058664764,572.4646125944649,24.396310803571428,66.46153846153847,43.81788067817763
201610,2016-10-01,56.06008654397757,28.838383838383834,0.0,524.9509862783265,26.48479537815126,66.61538461538463,31.23887425836402
201611,2016-11-01,67.69030242866903,41.11111111111113,64.26761374840989,635.9378604644069,23.201996651583716,57.76923076923077,54.016448694461225
201612,2016-12-01,62.37422261979423,21.666666666666664,61.48133929679332,602.5990817638857,21.996848397435897,50.46153846153846,47.93849178968527
201701,2017-01-01,60.18328157504741,0.0,30.615235879649628,568.7023204774646,23.59480657894737,54.15384615384615,35.31592528006194
201702,2017-02-01,30.560681075540312,4.444444444444452,36.591488322257696,577.492051589794,25.81475013368984,58.92307692307692,35.78564335361099
201703,2017-03-01,30.04871710991316,12.222222222222237,39.7531735462979,559.0712731288503,23.67493076923077,58.15384615384615,37.28717931156734
201704,2017-04-01,26.965914618881133,15.00000000000001,37.03434647921024,548.5602564287085,21.80673236111111,58.84615384615385,36.19030891078886
201705,2017-05-01,40.27647362327861,35.0,51.815644696318394,604.3406470377054,24.79266171052632,60.0,46.263934103200214
201706,2017-06-01,37.79893015495724,41.66666666666667,69.75058068983215,652.6708733957207,31.5220919138756,59.0,53.824216631225575
201707,2017-07-01,43.06974868487312,55.55555555555556,45.28829987010922,616.5767835873777,29.10006084090909,60.15384615384616,47.582538649189715
201708,2017-08-01,40.06732190951866,47.22222222222222,33.73676591424143,607.8876691146122,35.15907583333333,58.00000000000001,42.49292246145211
201709,2017-09-01,45.62890644890243,46.666666666666664,54.311080640771436,674.7958762422079,28.666826825396825,56.15384615384615,48.8843104259872
201710,2017-10-01,50.924386456941804,64.99999999999999,42.744030899570426,603.0064684316789,27.565062777777776,53.15384615384614,46.87418007709557
201711,2017-11-01,57.334164215604446,57.22222222222222,31.96469433401789,622.1434123164915,29.103279375,48.92307692307693,42.10345245865383
201712,2017-12-01,46.71121854945564,57.777777777777786,40.223943118597205,591.0283573359728,28.33687660326087,48.00000000000001,43.39003612290233
201801,2018-01-01,40.80945294510004,41.666666666666664,38.8439434985926,605.0678924090764,35.48212919642857,50.92307692307693,41.95798378621176
201802,2018-02-01,45.556868884914536,52.77777777777778,30.34626998942114,531.8185996889587,36.00333674242424,53.23076923076924,41.62121814818988
201803,2018-03-01,63.91565335229578,62.77777777777778,54.5928419138484,638.3173482096246,36.22168649456522,47.15384615384615,52.165888073752456
201804,2018-04-01,64.02808405042781,65.0,81.5328912924677,656.5071846667266,32.36280760869565,44.53846153846154,60.654058984586904
201805,2018-05-01,47.176686063006564,63.888888888888886,51.71270427806394,687.3258861688397,30.144439642857144,45.15384615384615,47.79277085119942
201806,2018-06-01,33.54789218586351,41.11111111111111,43.43289420276521,665.1752013314251,29.60659875,43.53846153846154,39.85949358020503
201807,2018-07-01,35.19192990232865,32.22222222222222,36.03245723766559,641.8266632823475,29.701154433333333,44.23076923076923,36.55099452144412
201808,2018-08-01,33.04846262960962,43.888888888888886,41.881564456766036,663.0168439269262,36.39499023076923,49.07692307692307,42.00419580352658
201809,2018-09-01,34.74776621497279,54.99999999999999,51.74731217595821,685.94787003311,47.30641759615385,53.53846153846153,49.81060806249543
201810,2018-10-01,34.56039729558724,62.777777777777764,43.765300303814655,670.8899210952353,42.27940324074074,49.84615384615385,46.288575938155326
201811,2018-11-01,33.67614551853467,53.33333333333332,39.00253482358897,669.4869619790165,34.58048925925927,43.61538461538462,40.61799158747468
201812,2018-12-01,29.53024994994142,52.22222222222223,41.447250300649905,666.9223368550793,32.10134660714286,38.46153846153846,39.15618323320397
201901,2019-01-01,34.92695165285358,49.99999999999999,34.48213798515823,625.4541833667665,35.064515517241375,40.84615384615384,38.15583304053675
201902,2019-02-01,36.22288406801958,47.77777777777777,31.234010130656014,608.0547079918109,33.27597240740741,42.846153846153854,37.13492059910385
201903,2019-03-01,42.6711786282783,60.55555555555555,34.41418508395026,591.7087957261613,34.36739214285714,41.53846153846154,40.48803075840578
201904,2019-04-01,40.69526411207321,58.88888888888889,37.521786422215726,586.7308773482541,33.739914642857144,40.46153846153846,40.75701618470895
201905,2019-05-01,48.19155444286964,56.111111111111114,46.4565128010182,615.3469278813765,31.119004741379317,42.23076923076924,44.52315569350317
201906,2019-06-01,51.456524496387956,34.44444444444445,41.20263597837563,578.4413699130334,29.96956120689655,45.84615384615384,41.115516352608466
201907,2019-07-01,57.95111191340351,41.66666666666667,49.63441306640509,655.8049981918939,33.94349733333334,49.3076923076923,47.24271457267363
201908,2019-08-01,62.27621037956006,37.777777777777786,48.204220820964935,605.3451963101191,34.46540133333333,49.07692307692307,46.81726677623572
201909,2019-09-01,60.59772520073945,42.77777777777778,35.09678728546495,591.5273964930155,40.24567068965517,54.3076923076923,44.81958710259874
