년월,Date,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,평당 거래가,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,39.96435301272776,51.41462670632196,54.10903732270433,1259.0338973980613,20.487054285714287,61.53846153846153,48.81820905530026
201606,2016-06-01,42.564977888480804,55.21892124500223,57.78392777440372,1269.1826019195398,23.845336964285718,60.23076923076923,51.081854965061844
201607,2016-07-01,49.89817853581962,59.13978494623655,50.63673726629483,1247.1752316955158,21.374371312500003,64.38461538461539,50.65491302148906
201608,2016-08-01,47.50893396778776,62.823152596659796,44.52295589536298,1222.9609041675642,23.104018875,67.38461538461537,49.68630206133683
201609,2016-09-01,61.00584061146259,61.78296347136428,55.11818560516469,1261.1937729973704,24.396310803571428,66.46153846153847,54.914796708081326
201610,2016-10-01,59.01001881364585,61.497611669197106,64.11893133056283,1287.2091985011864,26.48479537815126,66.61538461538463,58.131645236621196
201611,2016-11-01,34.47324447149701,54.4116525585297,62.85677022725152,1331.000941251346,23.201996651583716,57.76923076923077,51.03308889833662
201612,2016-12-01,34.22243261135014,45.3900709219858,60.360939712740546,1370.0238706679754,21.996848397435897,50.46153846153846,46.992803716126176
201701,2017-01-01,87.71444786642107,31.16754365896438,48.98716525264694,1277.8961882981744,23.59480657894737,54.15384615384615,49.08343930440326
201702,2017-02-01,83.50210216399513,29.12377030427819,42.05879933563764,1229.7901601811088,25.81475013368984,58.92307692307692,47.40179557683004
201703,2017-03-01,67.34525811092826,32.60886143521695,48.16332826528094,1234.8135611981006,23.67493076923077,58.15384615384615,47.44113098996264
201704,2017-04-01,49.74198045805143,37.1463433234195,51.65682483297863,1221.06263576032,21.80673236111111,58.84615384615385,46.923477479931506
201705,2017-05-01,38.50519492322036,41.21101197285136,52.55845568897284,1234.264007913818,24.79266171052632,60.0,47.078884609728405
201706,2017-06-01,64.33951243981468,50.52238236864179,67.90625071634562,1311.8726644881635,31.5220919138756,59.0,57.60323838885937
201707,2017-07-01,51.13778670792348,57.073133531609855,79.9585178896227,1394.7160526742955,29.10006084090909,60.15384615384616,60.915316955907514
201708,2017-08-01,28.07335364055164,59.66598032486845,71.66946344927607,1456.506368592317,35.15907583333333,58.00000000000001,55.82559032792414
201709,2017-09-01,63.976089186411635,51.91794402501334,57.39661065205599,1432.832997218568,28.666826825396825,56.15384615384615,52.91405344191879
201710,2017-10-01,62.20607408039448,49.74452833066422,44.76054060064498,1379.9364280788743,27.565062777777776,53.15384615384614,47.08323546673628
201711,2017-11-01,70.74017027798187,45.25280256234271,55.699836401300104,1464.145357263316,29.103279375,48.92307692307693,50.59032548251484
201712,2017-12-01,68.09979531594456,37.71066880195225,60.28144416024684,1482.2493004242103,28.33687660326087,48.00000000000001,50.575344961312624
201801,2018-01-01,59.54654391028995,35.18645618851521,53.01755763688877,1470.3030119541777,35.48212919642857,50.92307692307693,48.45085879549523
201802,2018-02-01,50.75274253203729,33.24182109357126,46.92008127157863,1404.130091540767,36.00333674242424,53.23076923076924,45.629541717309536
201803,2018-03-01,64.56233178172292,38.915579958819485,51.67215571904229,1456.499018418079,36.22168649456522,47.15384615384615,48.241707981878925
201804,2018-04-01,64.73349294063054,38.19873408068328,55.69944192404472,1440.6624754722357,32.36280760869565,44.53846153846154,48.35036957699962
201805,2018-05-01,47.20131344419893,37.664912682071225,50.875739190650336,1427.778144181692,30.144439642857144,45.15384615384615,44.2249144674015
201806,2018-06-01,30.40677635557042,36.54388774498589,52.466487420792355,1438.1081358131817,29.60659875,43.53846153846154,42.057708806962246
201807,2018-07-01,49.48103965457884,36.83367650423243,50.06719108804679,1381.0130293562354,29.701154433333333,44.23076923076923,43.82572187336009
201808,2018-08-01,66.4263731205792,41.3940364523755,51.98535552675363,1426.3822315751386,36.39499023076923,49.07692307692307,49.400904934829256
201809,2018-09-01,70.22751497594099,47.58636467627545,60.196899529300396,1466.7310486531146,47.30641759615385,53.53846153846153,56.27622781582065
201810,2018-10-01,44.27874219619525,54.221002059025395,56.95097371807495,1469.8804123732846,42.27940324074074,49.84615384615385,51.04875778087838
201811,2018-11-01,50.3416410507339,53.2830016014642,52.653089044535214,1467.3394268149436,34.58048925925927,43.61538461538462,47.47258103984713
201812,2018-12-01,42.35212116976289,46.3585754594677,53.77603979706714,1492.2373277709594,32.10134660714286,38.46153846153846,44.34103761408336
201901,2019-01-01,42.14091244020717,41.85159765118584,54.30498522499836,1498.5692104516656,35.064515517241375,40.84615384615384,44.977024379298214
201902,2019-02-01,70.88108039967189,41.958361930908254,48.75315585526046,1427.895597001448,33.27597240740741,42.846153846153854,46.87146916331325
201903,2019-03-01,67.82483470741428,45.66460764127201,43.02481273367821,1340.368275562044,34.36739214285714,41.53846153846154,44.78458895641712
