년월,Date,Volatility_3m,Volatility_12m,Volume_3m,Volume_12m,Momentum_2m,Volatility_Diff,Volume_Diff,Scaled_Volatility_Diff,Scaled_Volume_Diff,Scaled_Momentum_2m,Price_Change_1m,Price_Change_3m,Price_Change_12m,검색량_평균,normalized_DT,fear_greed_index
201605,2016-05-01,2.4254642997435916,2.7108505452982588,750.3333333333334,512.3333333333334,754.5994041048305,-0.2853862455546672,238.0,49.100315883910966,80.66682657711681,56.944675118916535,2.7057082448084713,5.634933234890076,,20.487054285714287,66.46153846153847,55.83997185749102
201606,2016-06-01,2.09321930211028,2.680426319452912,818.3333333333334,554.8571428571429,692.0143898370777,-0.587207017342632,263.4761904761905,47.017614282079876,84.33334475550835,55.580950025783594,-0.9669786221022478,0.8268366255558056,,23.845336964285718,66.61538461538463,56.102849087211794
201607,2016-07-01,2.0401843453040733,2.565017245032536,729.3333333333334,560.0,-575.5053922079936,-0.5248328997284628,169.33333333333337,47.44802426976321,70.78436075797553,27.961741928743866,-0.6703055662562032,1.0307810109063495,,21.374371312500003,68.30769230769232,44.84873657732578
201608,2016-08-01,3.2103603550972397,2.7046267091515372,686.3333333333334,570.3333333333334,1269.4900630533577,0.5057336459457025,116.0,54.55940557978446,63.1086591508755,68.16412309769026,4.73592626458562,3.0278901849319233,,23.104018875,69.61538461538463,59.43540016062025
201609,2016-09-01,3.097958363541096,2.6268657339904604,649.6666666666666,583.3,1402.849955047396,0.4710926295506357,66.36666666666667,54.320366696185864,55.96545934276804,71.07003009887275,-0.5885501964484485,3.421583942212541,,24.396310803571428,67.23076923076924,59.127377717702714
201610,2016-10-01,3.0566833191895073,2.5429428602124693,690.3333333333334,595.5454545454545,-395.7230851868998,0.513740458977038,94.78787878787887,54.614656257950635,60.055823284415276,31.879191597079622,-0.5277349521746875,3.5700277566829417,,26.48479537815126,68.23076923076921,46.52193861618859
201611,2016-11-01,3.8446340300063597,3.482802430258602,553.3333333333334,566.0833333333334,-1858.7449735383757,0.3618315997477577,-12.75,53.56641553357988,44.579035739985606,0.0,-7.21703577090188,-8.249876396001412,-56.93913674375663,23.201996651583716,56.76923076923077,29.940788599240932
201612,2016-12-01,8.415234773465437,4.242344851289554,406.0,564.25,285.68728736351324,4.172889922175884,-158.25,79.86446396070701,23.638762293115853,46.72709783534456,9.502534069809993,1.063519903491048,13.185116981855469,21.996848397435897,48.3076923076923,44.66883786063691
201701,2017-01-01,8.525818788199837,4.2527385819705765,238.0,559.1666666666666,1598.35860255225,4.2730802062292605,-321.16666666666663,80.55582282196019,0.19189254017750604,75.3301561313794,4.042877816226033,5.707248627958403,19.171482899733213,23.59480657894737,52.15384615384615,53.036701591553644
201702,2017-02-01,4.619992386483433,4.140757346905068,279.3333333333333,567.3333333333334,632.1714469422955,0.47923503957836466,-288.00000000000006,54.376553055749696,4.96521947709282,54.276974564127656,0.31692526613462363,14.290659377036496,14.124730465468987,25.81475013368984,56.230769230769226,44.34456749179577
201703,2017-03-01,2.6406567991827576,4.102200802087917,376.3333333333333,562.5833333333334,-170.338380405368,-1.4615440029051592,-186.25000000000006,40.98428851200821,19.609018949388332,36.790315787352526,-1.0615739236444326,3.2646235089313733,8.82616188708702,23.67493076923077,57.53846153846154,38.386628958247954
201704,2017-04-01,1.2831554899191702,4.072296539417206,507.3333333333333,541.25,127.37389425535378,-2.7891410494980358,-33.916666666666686,31.823260663773578,41.53274166466778,43.27745498894421,1.50231404217507,0.7430634835426142,11.43143545318147,21.80673236111111,60.92307692307693,42.81838862212154
201705,2017-05-01,2.153435739604512,4.094609667138489,782.3333333333334,575.3333333333334,2121.475980456846,-1.9411739275339768,207.0,37.67462229389804,76.20532501798992,86.7288640049667,3.2173210645142496,3.6557799296296953,11.986514152022401,24.79266171052632,66.3076923076923,64.88591814922637
201706,2017-06-01,3.5106990116693164,4.2715651515527515,838.6666666666666,567.6666666666666,-152.43033823342427,-0.7608661398834351,271.0,45.8192867761705,85.41616694650995,37.18053134876922,-3.5367141252443135,1.0626258012830938,9.080657930677233,31.5220919138756,65.69230769230771,50.56900839756255
201707,2017-07-01,4.190772066028679,4.345039554936475,975.0,602.6666666666666,260.89811005476474,-0.15426748890779596,372.33333333333337,50.00509537566307,100.0,46.18694259962896,4.13855520956903,3.6874472857624663,14.361593307700243,29.10006084090909,72.38461538461539,57.37722980411823
201708,2017-08-01,3.9456736647736608,4.247558912162408,656.6666666666666,567.9166666666666,892.4174589782184,-0.30188524738874767,88.75,48.986465212385305,59.18685536099784,59.94772532057563,-1.287381219223286,-0.8377726653651973,7.7847188253909465,35.15907583333333,58.76923076923077,54.46953800118205
201709,2017-09-01,2.729277708972373,4.240114345737983,575.6666666666666,549.1666666666666,116.28935516740086,-1.5108366367656103,26.5,40.64414675539062,50.22787239146078,43.03592330157599,1.941611065453397,4.793830312355768,10.527991564455695,28.666826825396825,59.46153846153845,45.58698418810216
201710,2017-10-01,2.2745236366733077,4.256940459422517,386.0,526.5833333333334,1162.5769689714373,-1.9824168227492094,-140.58333333333337,37.3900274218484,26.181338450467734,65.83449082245849,3.1021068042708477,3.7508602222315566,14.561267763040583,27.565062777777776,61.30769230769231,50.450175015489734
201711,2017-11-01,0.6153578222390215,3.335369190089873,558.6666666666666,569.25,1795.14554126299,-2.7200113678508515,-10.583333333333371,32.30028713828611,44.89086111777404,79.61813608090105,2.8767293031828958,8.127504810291262,27.024272507469764,29.103279375,61.6923076923077,57.303809989649814
201712,2017-12-01,1.2105804614692894,2.3780809376902643,631.0,605.4166666666666,1365.914987178656,-1.1675004762209749,25.58333333333337,43.01332355954775,50.09594627008875,70.26521854636326,0.9017353916404923,7.024528697326791,17.047241342317076,28.33687660326087,57.53846153846154,54.866632095036216
201801,2018-01-01,1.2557225260655558,2.227055885105923,749.6666666666666,654.5,540.9807432814295,-0.971333359040367,95.16666666666663,44.36696654030873,60.11033821060205,52.28993258134984,0.5457047241626642,4.370870724033944,13.112955098854858,35.48212919642857,66.76923076923077,53.375766569108265
201802,2018-02-01,1.498718010734662,2.3756350644467954,618.0,653.9166666666666,-379.9897871949434,-0.8769170537121334,-35.91666666666663,45.018482303061575,41.24490285440154,32.22201956509088,-1.8537590690678114,-0.4283214130594835,10.665386863582915,36.00333674242424,66.38461538461539,44.05728434998218
201803,2018-03-01,3.2591937468005785,2.5138212307194876,499.3333333333333,636.1666666666666,476.2355874855784,0.7453725160810909,-136.83333333333331,56.21302357212924,26.72103621971696,50.879138086043675,4.594683313589125,3.2159471626526797,16.992068216643,36.22168649456522,58.6923076923077,48.28078570135777
201804,2018-04-01,3.226005723391426,2.5136894694085883,277.3333333333333,597.0,683.4043298555408,0.7123162539828378,-319.6666666666667,55.9849202192197,0.407771647877186,55.3933371445279,1.1846344864577405,3.8718453013808927,16.62590919254359,32.36280760869565,52.53846153846153,44.425791009891604
201805,2018-05-01,3.259611394348739,2.5972550757350503,204.0,509.3333333333333,-50.89122100374877,0.6623563186136887,-305.3333333333333,55.64017377647386,2.470616454785323,39.39306487170275,-1.922188414048295,3.79942396085406,10.818744662799523,30.144439642857144,53.692307692307686,38.99616435350885
201806,2018-06-01,2.8824146292814428,2.311089663963501,138.66666666666666,461.1666666666667,133.534234125684,0.5713249653179417,-322.5,55.01201573353075,0.0,43.411688561656284,3.8366577205097285,3.047161824610242,19.289405852377847,29.60659875,51.0,39.261582775771046
201807,2018-07-01,4.88410806251046,2.863734654363694,192.0,401.25,1270.241302241929,2.0203734081467664,-209.25,65.01111385766718,16.298872631326454,68.18049257118781,7.7902649544736065,9.774383553936236,23.472393459017677,29.701154433333333,55.30769230769232,52.30901695296301
201808,2018-08-01,2.6438319189877793,2.6997691036433027,391.3333333333333,443.0,2730.5241235032818,-0.05593718465552344,-51.666666666666686,50.68361952415547,38.9781722235548,100.0,2.772691035867892,15.029165335266411,28.55084082617722,36.39499023076923,67.3076923076923,68.49389558000225
201809,2018-09-01,4.851981776913373,2.9445623173986264,448.6666666666667,429.4166666666667,225.77054893377505,1.9074194595147467,19.25,64.23167986326231,49.18445670424562,45.42151437177381,-1.9117928511823967,8.661091807586093,23.691605148526783,47.30641759615385,66.3076923076923,53.74743281740548
201810,2018-10-01,3.3900398504238187,3.3245706417860044,395.0,403.5,-641.3345858582027,0.06546920863781436,-8.5,51.52137925913555,45.19069321180139,26.52732628960333,-3.814408808265847,-3.037334962797156,15.393860857291106,42.27940324074074,57.76923076923077,42.15779143864709
201811,2018-11-01,1.015931885389418,3.424076647895339,172.66666666666666,346.5,-312.0869133617496,-2.408144762505921,-173.83333333333334,34.45230959406929,21.396018229791313,33.70162061696569,-2.24553125701085,-7.771863195562881,9.648368884895168,34.58048925925927,51.15384615384615,36.752143121271
201812,2018-12-01,3.0385866687649954,4.286029845457329,95.33333333333333,295.5,-388.50319762287995,-1.2474431766923337,-200.16666666666669,42.4616823012603,17.606140561285677,32.03651267395162,-8.114554012932613,-13.604053645564843,-0.1494945786851511,32.10134660714286,41.46153846153847,33.90184390015736
201901,2019-01-01,8.137849346959602,4.85785922886201,74.66666666666667,234.75,-5.688187409147495,3.279990118097592,-160.08333333333331,73.70304623848686,23.374910050371795,40.37803726357535,7.966808885422286,-3.0219130230172886,7.220298127217702,35.064515517241375,39.84615384615385,41.48827336748337
201902,2019-02-01,8.921897102731398,5.066105760357205,67.66666666666667,208.91666666666666,448.6250681269641,3.855791342374193,-141.25,77.67633848418976,26.085392180378985,50.27750591380054,6.622624224397682,5.775810136448218,16.480360816786323,33.27597240740741,41.92307692307693,46.03950849478162
201903,2019-03-01,2.6314536942824907,4.991574165579365,90.66666666666667,193.33333333333334,470.7794344637765,-2.3601204712968746,-102.66666666666667,34.783699205312324,31.638282561765408,50.76024871811972,2.888071421335189,18.441707400541276,14.57981709232217,34.36739214285714,41.15384615384615,41.512405132116726
201904,2019-04-01,1.9094224589519957,5.135684898350397,143.33333333333334,201.25,793.8560451726904,-3.2262624393984014,-57.91666666666666,28.806922810195708,38.07867594147278,57.800075842599654,5.4463752471445135,15.676742254408438,19.405742286722496,33.739914642857144,40.07692307692308,43.67094435452778
201905,2019-05-01,1.861107003143414,5.013894966762071,256.6666666666667,222.08333333333334,1128.9983858900544,-3.152787963618657,34.58333333333334,29.313930354751577,51.39122091628688,65.10281476748432,1.8257560629363505,10.472536430568193,23.968712086793722,31.119004741379317,45.07692307692307,48.81121055793698
201906,2019-06-01,2.565281032106907,4.990773135882953,405.3333333333333,260.0,569.1831907168981,-2.4254921037760457,145.33333333333331,34.33260499177578,67.33029503478052,52.90446284399337,0.4879967448559102,7.895538597188058,19.970806169169855,29.96956120689655,54.76923076923078,49.412166372059396
201907,2019-07-01,0.7468402201296712,4.60228574429954,551.6666666666666,291.1666666666667,338.4811592422571,-3.8554455241698693,260.49999999999994,24.46527127065505,83.90501319261213,47.87747430624656,0.5814539952459975,2.917621646735926,11.947383435540242,33.94349733333334,61.07692307692307,50.66415693432546
201908,2019-08-01,1.6041518788825704,4.623307507161551,543.3333333333334,260.0833333333333,1007.43609798826,-3.0191556282789804,283.25000000000006,30.236054691057685,87.17917965939074,62.45397711313635,3.3120188472207044,4.4198214517249355,12.534857955146745,34.46540133333333,60.15384615384616,56.74406802186531
201909,2019-09-01,1.419945866889321,4.540483774774725,511.6666666666667,275.75,1281.8711047653358,-3.1205379078854043,235.91666666666669,29.53647051438636,80.36699448308947,68.43390552818576,2.622569600766963,6.637914395261904,17.73705146321132,40.24567068965517,63.46153846153846,59.59203527838238
201910,2019-10-01,3.741192645189545,4.506540788151066,521.0,322.6666666666667,-258.53584069528233,-0.7653481429615212,198.33333333333331,45.78835890154198,74.95802350683616,34.86849646438521,-3.4850744904926816,2.3265219931537415,18.14017682783031,43.05274387931034,69.6923076923077,51.17826006855556
201911,2019-11-01,3.278065233650257,4.350468931829657,578.3333333333334,361.5,-571.9394671966446,-1.0724036981794,216.83333333333337,43.66953489577515,77.62053250179899,28.039443299832513,1.6326389692080046,0.6631617767935002,22.82710032284221,47.115012500000006,69.0,49.29231545463815
201912,2019-12-01,2.558879291449313,3.20046230463626,537.3333333333334,386.25,165.48874633486193,-0.6415830131869473,151.08333333333337,46.642394998876675,68.157831614296,44.10797617376812,-0.9076061265580033,-2.7996110978546023,32.4609275470777,51.44784202380953,65.84615384615384,53.96653475257531
202001,2020-01-01,6.541779811505651,4.5334715022034855,348.6666666666667,391.1666666666667,-1486.671706474026,2.0083083093021656,-42.5,64.92785914812202,40.297433437275124,8.107462412788045,-10.752564120297107,-10.118715522690053,9.494744355827402,56.78858106481482,58.84615384615385,39.22059903891114
202002,2020-02-01,12.83789715298197,5.8713780097519335,251.0,407.3333333333333,371.6495650954898,6.966519143230037,-156.33333333333331,99.14178546228712,23.914607819621015,48.600212614937455,14.706282897908698,1.4432779572452668,17.79615455234478,57.306395384615385,61.61538461538461,56.39192903700509
202003,2020-03-01,13.114789843190545,6.023900039322224,175.0,407.3333333333333,1099.26817140046,7.090889803868321,-232.33333333333331,99.99999999999997,12.976733029503478,64.45499451853097,-3.489260740761152,-1.19962425130058,10.494771655180637,53.82355296296296,53.692307692307686,58.17794957769513
202004,2020-04-01,9.464216536536604,5.860534105304041,183.66666666666666,401.25,-184.64836174136664,3.6036824312325626,-217.58333333333334,75.93667149586385,15.099544255217076,36.478501835426655,1.0912300687953453,11.911915644925429,5.9311176568429005,52.69643442307692,47.84615384615385,44.01300623628445
202005,2020-05-01,2.295951963782533,5.877145580306097,218.0,397.6666666666667,-48.9836305758473,-3.581193616523564,-179.66666666666669,26.35773507947953,20.556488366514746,39.43463119495739,-1.4792192218713691,-3.8792904000976978,2.492893976661875,52.65111542307693,55.76923076923077,41.506373854753605
202006,2020-06-01,3.7774723313187994,6.096058184292245,444.3333333333333,417.0833333333333,1314.6520916175496,-2.3185858529734453,27.25,35.070307100458855,50.335811945310624,69.14820199150157,5.958442702680728,5.530231960245644,8.072484133922119,70.11567679999999,70.6923076923077,63.068064020823655
202007,2020-07-01,5.252043292917957,6.26558293494904,520.3333333333334,393.4166666666667,538.9875080513722,-1.0135396420310832,126.91666666666669,44.07572385124075,64.67977932357879,52.2465000610964,-4.1839982317297135,0.02336389840867792,2.952114127985055,77.50155853333334,76.46153846153847,62.6213313136208
202008,2020-08-01,6.349719638883799,6.552040149671017,486.0,383.3333333333333,523.1768271345276,-0.20232051078721813,102.66666666666669,49.67350750963174,61.189733749100505,51.901985922079454,7.505755864329884,9.145372733165647,7.1312415598733425,69.57987455357144,70.6923076923077,60.133658336181966
202009,2020-09-01,6.277152657821384,6.579577636246537,271.3333333333333,357.0,555.2886592340495,-0.3024249784251527,-85.66666666666669,48.982740820961155,34.084912449028536,52.60170152865005,-2.3039885647134986,0.6344309208895628,1.9882374922680301,61.15928885093168,67.15384615384615,54.75640705987752
202010,2020-10-01,5.198578943343343,6.474976644984429,210.66666666666666,315.8333333333333,-261.28997028898584,-1.276397701641086,-105.16666666666666,42.2618828138566,31.278484048932597,34.80848408473463,-0.3827977621655304,4.626787510720532,5.266442744617303,70.36712782608696,70.46153846153845,49.54596907680343
202011,2020-11-01,4.61323852582406,6.691119499357265,260.6666666666667,303.9166666666667,910.3099888027292,-2.0778809735332056,-43.25,36.731281045389764,40.18949388342528,60.33760286852863,6.471827787601843,3.6205476836948107,10.278653367586399,83.83850073863636,71.6923076923077,61.23210990395927
202012,2020-12-01,3.8994568264145943,6.675294675818611,359.3333333333333,312.5,1373.8558839416862,-2.7758378494040166,46.833333333333314,31.91505883916476,53.154233629167656,70.43825038640395,-0.17695546713593419,5.876569513801234,11.09178510912161,82.07538146464647,69.84615384615385,65.05989487501837
202101,2021-01-01,3.5942690046406987,5.552570271652382,397.6666666666667,328.0833333333333,120.74341783705256,-1.958301267011683,69.58333333333337,37.55643580476408,56.42840009594627,43.13297715863839,0.7806725563211923,7.113145559757671,25.447915768365657,86.56767216666668,68.53846153846153,56.964412702727614
202102,2021-02-01,1.9284413835678247,3.9380100651160683,340.0,326.1666666666667,582.9427455374124,-2.0095686815482434,13.833333333333314,37.20266715675318,48.404893259774525,53.20428302297099,3.537421855067052,4.161064654280663,13.233150335002247,82.647656125,65.15384615384616,58.008054067317346
202103,2021-03-01,3.983988193345309,4.03182646751865,238.33333333333334,328.3333333333333,-76.8121418505962,-0.04783827417334097,-89.99999999999997,50.73950571692612,33.461261693451675,38.828248987108914,-4.315266329503462,-0.1570852009129844,12.264022798258647,78.2537793939394,58.92307692307692,50.583819211645476
202104,2021-04-01,5.460175039926451,4.296731110826156,211.0,334.9166666666667,192.85794514343118,1.1634439291002954,-123.91666666666669,59.09790785765012,28.579995202686494,44.70434998035559,6.18313989021466,5.19511251756656,17.91870006244348,72.01016817460317,59.30769230769231,52.23470867878008
202105,2021-05-01,5.693792415218256,4.402335538897696,224.0,327.6666666666667,409.6127238938887,1.2914568763205603,-103.66666666666669,59.98125584145977,31.494363156632282,49.42742840890497,-2.8864580077688804,-1.3316171697564847,16.234387707223856,69.73298542857142,64.6923076923077,55.367077055240884
202106,2021-06-01,4.742178525621906,4.252649328288706,223.0,273.0,125.45241053027831,0.48952919733319966,-50.0,54.44758746043461,39.21803789877668,43.23558593126977,4.050749520810911,7.295268468294121,14.141684726017495,70.44525625,67.61538461538463,54.311292837191985
