년월,데이터 건수,평당 거래가,표준화된 데이터 건수
201512,280,3749.489471113354,0.25476030756760537
201601,275,3705.113148425613,0.23135005431039055
201602,268,3881.220050687042,0.19857569975028985
201603,606,4026.982254432375,1.7811088199380098
201604,863,3991.9146455520063,2.9843958373588504
201605,782,4099.924209242424,2.6051497345919707
201606,810,4060.278818616655,2.7362471528323735
201607,596,4033.062543689946,1.7342883134235803
201608,653,4224.065411963723,2.001165200555829
201609,700,4199.204666683499,2.221221581173648
201610,718,4177.04399594406,2.305498492899621
201611,242,3875.585236590468,0.0768423828127729
201612,258,4243.864044102003,0.15175519323586026
201701,214,4415.438282091796,-0.05425503542762995
201702,366,4429.431921618326,0.6574166635916998
201703,549,4382.410227372843,1.5142319328057612
201704,607,4448.247791604382,1.785790870589453
201705,1191,4591.362204805459,4.520108451032141
201706,718,4428.978849166976,2.305498492899621
201707,1016,4612.274584059886,3.700749587029623
201708,236,4552.8970272856905,0.04875007890411515
201709,475,4641.296579766168,1.1677601845989825
201710,447,4785.274556773485,1.0366627663585795
201711,754,4922.933952185943,2.474052316351568
201712,692,4967.32578993989,2.1837651759621046
201801,803,4994.432721440142,2.703472798272273
201802,359,4901.847971917955,0.6246423090315991
201803,336,5127.072362741176,0.516955144048411
201804,137,5187.809430095852,-0.4147729355887378
201805,139,5088.089958287645,-0.4054088342858519
201806,140,5283.302554498768,-0.40072678363440895
201807,297,5694.885821840694,0.33435516864213566
201808,737,5852.787410525782,2.3944574552770375
201809,312,5740.894239216447,0.40458592841378005
201810,136,5521.913063682548,-0.4194549862401808
201811,70,5397.916779852591,-0.7284703292354161
201812,80,4959.8999071783,-0.6816498227209865
201901,74,5355.045653691433,-0.7097421266296442
201902,49,5709.690204380357,-0.8267933929157182
201903,149,5874.59013541984,-0.3585883277714223
201904,232,6194.54235842654,0.030021876298343315
201905,389,6307.639591106673,0.7651038285748879
201906,595,6338.420666988516,1.7296062627721374
201907,671,6375.275667192219,2.085442112281802
201908,364,6586.425998851901,0.6480525622888139
201909,500,6759.159604874802,1.2848114508850563
201910,699,6523.597857713625,2.2165395305222053
201911,536,6630.104658533076,1.4533652743370027
201912,377,6569.929422455022,0.7089192207575724
202001,133,5863.4935486472805,-0.43350113819450964
202002,243,6725.795497611975,0.08152443346421587
202003,149,6491.11495580992,-0.3585883277714223
202004,159,6561.947954007789,-0.3117678212569927
202005,346,6464.882358542911,0.5637756505628406
202006,828,6850.088669672405,2.820524064558347
202007,387,6563.481080861394,0.755739727272002
202008,243,7056.11994699233,0.08152443346421587
202009,184,6893.547750301159,-0.19471655497091872
202010,205,6867.159403779194,-0.09639349129061658
202011,393,7311.590134291889,0.7838320311806597
202012,480,7298.651875814688,1.1911704378561971
202101,320,7355.630447990595,0.44204233362532375
202102,220,7615.830127035781,-0.026162731518972197
202103,175,7287.186773851625,-0.23685501083390537
202104,238,7737.763726140091,0.05811418020700107
202105,259,7514.416425444685,0.1564372438873032
202106,172,7818.806612790122,-0.25090116278823427
202107,211,8187.477775044431,-0.06830118738195882
202108,202,7908.31175433474,-0.11043964324494546
202109,148,8205.26209740426,-0.36327037842286525
202110,132,8733.42178116765,-0.4381831888459526
202111,114,7861.154923805275,-0.5224601005719258
202112,73,8651.51341860604,-0.7144241772810872
202201,62,7913.193252438056,-0.7659267344469598
202202,68,7965.143279806656,-0.737834430538302
202203,93,8054.44689309033,-0.620783164252228
202204,114,8862.306252204526,-0.5224601005719258
202205,114,8059.176207335768,-0.5224601005719258
202206,73,8389.657954395487,-0.7144241772810872
202207,56,7949.031196107256,-0.7940190383556175
202208,151,7291.175412322833,-0.3492242264685364
202209,33,8376.56999091793,-0.9017062033388056
202210,31,7668.532959394544,-0.9110703046416915
202211,38,7786.351354309936,-0.8782959500815908
202212,43,6864.690629065428,-0.854885696824376
202301,106,7725.830132006533,-0.5599165057834695
202302,195,7902.616561578126,-0.14321399780504618
202303,190,8022.812802477815,-0.16662425106226098
202304,202,8330.542337591954,-0.11043964324494546
202305,271,8333.94260088095,0.21262185170461873
202306,274,8740.711805073184,0.2266680036589476
202307,248,8856.023258483227,0.10493468672143066
202308,282,8821.025867996308,0.26412440887049127
202309,207,8441.488723873092,-0.08702938998773067
202310,145,9096.182566512116,-0.37731653037719415
202311,114,8158.417636746377,-0.5224601005719258
202312,100,8546.381229196648,-0.5880088096921273
202401,191,8507.550678431742,-0.16194220041081803
202402,158,9000.249747730148,-0.31644987190843565
201512,242,2032.0241700584315,0.0768423828127729
201601,243,2123.0027837629164,0.08152443346421587
201602,239,2074.924517560148,0.06279623085844403
201603,430,2158.7436266304007,0.9570679052840493
201604,525,2275.906453023266,1.4018627171711302
201605,531,2212.588362829525,1.429955021079788
201606,637,2210.282024977478,1.9262523901327417
201607,611,2217.690473481803,1.8045190731952248
201608,707,2218.5410043466723,2.253995935733749
201609,732,2140.645621791836,2.371047202019823
201610,750,2178.864533239512,2.455324113745796
201611,304,2122.7756493417714,0.36712952320223635
201612,197,2226.397096948234,-0.13384989650216025
201701,174,2349.078021141639,-0.24153706148534831
201702,305,2214.6220706175623,0.37181157385367936
201703,493,2239.2669558925627,1.2520370963249556
201704,711,2446.301499594387,2.2727241383395205
201705,1195,2318.991219491106,4.5388366536379126
201706,675,2299.980280548924,2.104170314887574
201707,893,2492.578879379763,3.1248573569021394
201708,230,2414.764426694353,0.020657774995457394
201709,296,2493.611769860574,0.3296731179906927
201710,340,2458.33437778454,0.5356833466541829
201711,411,2625.5985290122817,0.868108942906633
201712,446,2631.679202512081,1.0319807157071366
